timestamp,paper,node_id,task_id,git_commit,domain,status,summary,evidence,equation_labels,concept_advance,predecessors,paper_anchor,notes
2026-06-12T01:02:22.969962+00:00,arxiv-2308.10361,S0-import-2308.10361,eq-dag-stage0,9a25e15,symbolic,solid,"Stage-0 source import: arXiv:2308.10361 LaTeX e-print fetched, unpacked, checksummed under ref-paper/arxiv-2308.10361/",ref-paper/arxiv-2308.10361/PROVENANCE.md,,False,,whole paper,single-known-source fast path; structure_check OK; iteration 1
2026-06-12T01:14:09.844817+00:00,arxiv-2308.10361,eq:auto-38,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,Spin-weighted spherical harmonics sY20 used in the analytic Teukolsky expressions,ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:auto-38""]",,[],Appendix A (app:1e-5),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:09.899184+00:00,arxiv-2308.10361,eq:auto-30,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,Radial profile mathcal-J of the injected characteristic pulse (envelope times Gaussian),ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:auto-30""]",,[],Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:09.953172+00:00,arxiv-2308.10361,eq:auto-29,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,Compactly supported spin-weight-2 initial data for J-hat on the initial null slice,ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:auto-29""]",,"[""eq:auto-30""]",Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:10.007628+00:00,arxiv-2308.10361,eq:im_psi2,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,Reality condition on the Bondi mass aspect (Im psi2 constraint),ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:im_psi2""]",,[],Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:10.062237+00:00,arxiv-2308.10361,eq:bondi_violation_psi3,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,Bondi-gauge constraints from NP Bianchi identities (eq:bondi_violation; waveform-quality diagnostics),ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:bondi_violation_psi3""]",,[],Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:10.115198+00:00,arxiv-2308.10361,eq:three_constraint,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,L2 norm of the GH three-index constraint C_iab (diagnostic; imported from Lindblom 2005),ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:three_constraint""]",,[],Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:10.168878+00:00,arxiv-2308.10361,eq:gauge_constraint,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,L2 norm of the GH gauge constraint C_a (diagnostic; imported from Lindblom 2005),ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:gauge_constraint""]",,[],Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:10.222337+00:00,arxiv-2308.10361,eq:Gaussian_pulse_F,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,"Outgoing Gaussian pulse profile F(u') with amplitude X, center r_c, width tau",ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:Gaussian_pulse_F""]",,[],Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:14:10.276133+00:00,arxiv-2308.10361,eq:auto-28,eq-dag-stage1-2308.10361,9a25e15,symbolic,solid,Ingoing Gaussian profile F(v') in advanced time for the Kerr-perturbation test,ref-paper/arxiv-2308.10361/src/paper.tex + reformulate/z4c-CMM/paper_2308.10361/derivation.md,"[""eq:auto-28""]",,"[""eq:Gaussian_pulse_F""]",Sec. V (sec:tests),"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
